rec num,rec mod,rec firmware,rec map,file,first det,last det,num det,mem avail,receiver initialize time,receiver download time,computer download time
480026,VR2Tx-69,5.1.8,MAP-114,VR2Tx_480026_20211105_1.vrl,2021-10-08T16:48:51.272600Z,2021-11-05T12:50:25.799300Z,52630,96.6,2021-10-08T16:48:23Z,2021-11-05T12:53:54Z,2021-11-05T12:52:48Z
480027,VR2Tx-69,5.1.8,MAP-114,VR2Tx_480027_20211105_1.vrl,2021-10-08T17:01:02.900200Z,2021-11-05T13:06:07Z,54758,96.5,2021-10-08T17:00:49Z,2021-11-05T13:07:13Z,2021-11-05T13:06:07Z
483814,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483814_20211105_1.vrl,2021-10-08T17:30:15.727200Z,2021-11-05T13:00:36Z,49884,98.4,2021-10-08T17:30:00Z,2021-11-05T13:01:44Z,2021-11-05T13:01:58Z
483815,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483815_20211105_1.vrl,2021-10-08T16:58:44.632700Z,2021-11-05T13:04:33Z,56977,98.2,2021-10-08T16:58:31Z,2021-11-05T13:05:53Z,2021-11-05T13:06:21Z
483829,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483829_20211105_1.vrl,2021-10-08T16:51:39.042400Z,2021-11-05T12:56:55Z,45984,98.5,2021-10-08T16:51:24Z,2021-11-05T12:57:48Z,2021-11-05T12:58:10Z
483846,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483846_20211105_1.vrl,2021-10-08T16:50:17.292600Z,2021-11-05T12:54:41Z,51136,98.4,2021-10-08T16:50:00Z,2021-11-05T12:54:52Z,2021-11-05T12:55:12Z
483868,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483868_20211105_1.vrl,2021-10-08T16:54:29.245300Z,2021-11-05T13:01:11.267100Z,53253,98.3,2021-10-08T16:54:12Z,2021-11-05T13:01:57Z,2021-11-05T13:02:13Z
483871,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483871_20211105_1.vrl,2021-10-08T16:57:27.799600Z,2021-11-05T12:59:21Z,53752,98.3,2021-10-08T16:57:11Z,2021-11-05T13:02:05Z,2021-11-05T13:02:28Z
483884,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483884_20211105_1.vrl,2021-10-08T16:55:18.204500Z,2021-11-05T13:00:03Z,54301,98.3,2021-10-08T16:54:59Z,2021-11-05T13:02:33Z,2021-11-05T13:02:46Z
483888,VR2Tx-69,5.1.8,MAP-114,VR2Tx_483888_20211105_1.vrl,2021-10-08T16:52:39.671700Z,2021-11-05T12:47:42.545Z,52466,98.3,2021-10-08T16:52:23Z,2021-11-05T12:50:14Z,2021-11-05T12:50:30Z
300813,VR2W-180,5.0.1,MAP-414,VR2W180_300813_20211105_1.vrl,2021-10-08T17:34:04.793700Z,2021-11-05T13:08:25.664100Z,30062,96.1,2021-10-08T17:32:59Z,2021-11-05T13:09:06Z,2021-11-05T13:09:19Z
300815,VR2W-180,5.0.1,MAP-414,VR2W180_300815_20211105_1.vrl,2021-10-08T17:34:24.555100Z,2021-11-05T13:09:14.881700Z,29852,96.2,2021-10-08T17:33:21Z,2021-11-05T13:10:16Z,2021-11-05T13:09:35Z
